[2026-02-26T10:10:20.949046] 数据桥接服务启动
扫描目录: /root/.openclaw/agents/main/sessions/
输出目录: /root/.openclaw/workspace/agent-dashboard-public/data/
[2026-02-26T10:23:39.272597] 更新完成: 22 sessions, 0 active
[2026-02-26T10:23:42.273721] 更新完成: 22 sessions, 0 active
[2026-02-26T10:23:45.274833] 更新完成: 22 sessions, 0 active
[2026-02-26T10:23:48.275990] 更新完成: 22 sessions, 0 active
[2026-02-26T10:23:51.277137] 更新完成: 22 sessions, 0 active
[2026-02-26T10:23:54.278238] 更新完成: 22 sessions, 0 active
[2026-02-26T10:23:57.279375] 更新完成: 22 sessions, 0 active
[2026-02-26T10:24:00.280550] 更新完成: 22 sessions, 0 active
[2026-02-26T10:24:03.281646] 更新完成: 22 sessions, 0 active
[2026-02-26T10:24:06.283234] 更新完成: 22 sessions, 0 active
[2026-02-26T10:24:09.284376] 更新完成: 22 sessions, 0 active
[2026-02-26T10:24:12.285488] 更新完成: 22 sessions, 0 active
[2026-02-26T10:24:15.286635] 更新完成: 22 sessions, 0 active
[2026-02-26T10:24:18.287759] 更新完成: 22 sessions, 0 active
[2026-02-26T10:24:21.288914] 更新完成: 22 sessions, 0 active
[2026-02-26T10:24:24.290081] 更新完成: 22 sessions, 0 active
[2026-02-26T10:24:27.293859] 更新完成: 22 sessions, 0 active
[2026-02-26T10:24:30.294983] 更新完成: 22 sessions, 0 active
[2026-02-26T10:24:33.296071] 更新完成: 22 sessions, 0 active
[2026-02-26T10:24:36.297161] 更新完成: 22 sessions, 0 active
[2026-02-26T10:24:39.298216] 更新完成: 22 sessions, 0 active
[2026-02-26T10:24:42.299426] 更新完成: 22 sessions, 0 active
[2026-02-26T10:24:45.300628] 更新完成: 22 sessions, 0 active
[2026-02-26T10:24:48.301730] 更新完成: 22 sessions, 0 active
[2026-02-26T10:24:51.302841] 更新完成: 22 sessions, 0 active
[2026-02-26T10:24:54.303986] 更新完成: 22 sessions, 0 active
[2026-02-26T10:24:57.305148] 更新完成: 22 sessions, 0 active
[2026-02-26T10:25:00.306344] 更新完成: 22 sessions, 0 active
[2026-02-26T10:25:03.307513] 更新完成: 22 sessions, 0 active
[2026-02-26T10:25:06.309234] 更新完成: 22 sessions, 0 active
[2026-02-26T10:25:09.310414] 更新完成: 22 sessions, 0 active
[2026-02-26T10:25:12.311539] 更新完成: 22 sessions, 0 active
[2026-02-26T10:25:15.312671] 更新完成: 22 sessions, 0 active
[2026-02-26T10:25:18.313812] 更新完成: 22 sessions, 0 active
[2026-02-26T10:25:21.314909] 更新完成: 22 sessions, 0 active
[2026-02-26T10:25:24.316002] 更新完成: 22 sessions, 0 active
[2026-02-26T10:25:27.317127] 更新完成: 22 sessions, 0 active
[2026-02-26T10:25:30.318876] 更新完成: 22 sessions, 0 active
